@relation iris-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute sepallength numeric
@attribute sepalwidth numeric
@attribute petallength numeric
@attribute petalwidth numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
0.222222,0.625,0.067797,0.041667,Iris-setosa
0.166667,0.416667,0.067797,0.041667,Iris-setosa
0.111111,0.5,0.050847,0.041667,Iris-setosa
0.083333,0.458333,0.084746,0.041667,Iris-setosa
0.194444,0.666667,0.067797,0.041667,Iris-setosa
0.305556,0.791667,0.118644,0.125,Iris-setosa
0.083333,0.583333,0.067797,0.083333,Iris-setosa
0.194444,0.583333,0.084746,0.041667,Iris-setosa
0.027778,0.375,0.067797,0.041667,Iris-setosa
0.166667,0.458333,0.084746,0,Iris-setosa
0.305556,0.708333,0.084746,0.041667,Iris-setosa
0.138889,0.583333,0.101695,0.041667,Iris-setosa
0.138889,0.416667,0.067797,0,Iris-setosa
0,0.416667,0.016949,0,Iris-setosa
0.416667,0.833333,0.033898,0.041667,Iris-setosa
0.388889,1,0.084746,0.125,Iris-setosa
0.305556,0.791667,0.050847,0.125,Iris-setosa
0.222222,0.625,0.067797,0.083333,Iris-setosa
0.388889,0.75,0.118644,0.083333,Iris-setosa
0.222222,0.75,0.084746,0.083333,Iris-setosa
0.305556,0.583333,0.118644,0.041667,Iris-setosa
0.222222,0.708333,0.084746,0.125,Iris-setosa
0.083333,0.666667,0,0.041667,Iris-setosa
0.222222,0.541667,0.118644,0.166667,Iris-setosa
0.138889,0.583333,0.152542,0.041667,Iris-setosa
0.194444,0.416667,0.101695,0.041667,Iris-setosa
0.194444,0.583333,0.101695,0.125,Iris-setosa
0.25,0.625,0.084746,0.041667,Iris-setosa
0.25,0.583333,0.067797,0.041667,Iris-setosa
0.111111,0.5,0.101695,0.041667,Iris-setosa
0.138889,0.458333,0.101695,0.041667,Iris-setosa
0.305556,0.583333,0.084746,0.125,Iris-setosa
0.25,0.875,0.084746,0,Iris-setosa
0.333333,0.916667,0.067797,0.041667,Iris-setosa
0.166667,0.458333,0.084746,0,Iris-setosa
0.194444,0.5,0.033898,0.041667,Iris-setosa
0.333333,0.625,0.050847,0.041667,Iris-setosa
0.166667,0.458333,0.084746,0,Iris-setosa
0.027778,0.416667,0.050847,0.041667,Iris-setosa
0.222222,0.583333,0.084746,0.041667,Iris-setosa
0.194444,0.625,0.050847,0.083333,Iris-setosa
0.055556,0.125,0.050847,0.083333,Iris-setosa
0.027778,0.5,0.050847,0.041667,Iris-setosa
0.194444,0.625,0.101695,0.208333,Iris-setosa
